name,category,nationality,nature,website,twitter,date_signed
"Aapti Institute","civil-society","IND","Centre de recherche","","",""
"ABB","private-sector","SWE","Entreprise","","",""
"Abelia","private-sector","NOR","Association professionnelle ","","",""
"Academia Mexicana de Derecho Informático, A.C.","civil-society","MEX","Association","","",""
"ACCEIS","private-sector","FRA","Entreprise","","",""
"Accenture","private-sector","FRA","Entreprise","","",""
"Access Now","civil-society","USA","ONG","","",""
"Access Partnership","private-sector","GBR","Entreprise","","",""
"Acocine","civil-society","COL","Association","","",""
"ACPM IT Consulting Ltd","private-sector","HUN","","","",""
"ACSE","private-sector","FRA","Entreprise","","",""
"Action for India","civil-society","IND","Organisation à but non lucratif","","",""
"ActiveGraf","private-sector","USA","Entreprise","","",""
"ACYMA - Cybermalveillance.gouv.fr","public-authority","FRA","Groupement d’intérêt public","","",""
"Adelphi Net1 Ltd","private-sector","IRL","Entreprise","","",""
"Adigital","private-sector","ESP","Association professionnelle ","","",""
"Advanced Cyber Security Engineering Research Centre (ACSRC), The University of Newcastle","civil-society","AUS","Université","","",""
"Advanced Data Tech Ltd.","private-sector","BGR","Entreprise","","",""
"AES Corporation","private-sector","USA","Entreprise","","",""
"Aevitas SA de CV","private-sector","MEX","Entreprise","","",""
"AFCEA Czech Chapter","civil-society","CZE","Organisation à but non lucratif","","",""
"AFCEA Slovakia","civil-society","SVK","Organisation à but non lucratif","","",""
"Africa Digital Rights’ Hub","civil-society","GHA","Think tank","","",""
"AfricaCERT","civil-society","GHA","","","",""
"Aga Khan Rural Support Programme India","civil-society","IND","Organisation à but non lucratif","","",""
"Aggreg8","private-sector","HUN","Entreprise","","",""
"aiL","private-sector","FRA","Entreprise","","",""
"AIESEC Abidjan Sud","civil-society","CIV","Organisation à but non lucratif","","",""
"Airbus","private-sector","FRA","Entreprise","","",""
"AIVENTU","private-sector","TUN","Entreprise","","",""
"AL Consulting","private-sector","MYS","Entreprise","","",""
"Aladdin-RD","private-sector","RUS","Entreprise","","",""
"Albanie","state","ALB","","","",""
"Albright Stonebridge Group","private-sector","USA","Entreprise","","",""
"ALEF Group","private-sector","CZE","Entreprise","","",""
"Alianza Corp","private-sector","MEX","Entreprise","","",""
"Aliter","private-sector","SVK","Entreprise","","",""
"All India Management Association","civil-society","IND","Fédération","","",""
"Allemagne","state","DEU","UE","","",""
"Alliance for Peacebuilding","civil-society","USA","ONG","","",""
"Alliance Française des Industries du Numérique (AFNUM)","private-sector","FRA","Association professionnelle ","","",""
"Alliance pour la Confiance Numérique (ACN)","private-sector","FRA","Association professionnelle ","","",""
"Allianz","private-sector","DEU","Entreprise","","",""
"Allied for Startups","civil-society","BEL","Organisation à but non lucratif","","",""
"ALN Institute Ltd","private-sector","KEN","Association professionnelle ","","",""
"Alpine Multidisciplinary Network on Cyber-Security Studies(AMNECYS)","civil-society","FRA","Centre de recherche","","",""
"ALSID","private-sector","FRA","Entreprise","","",""
"Alster Legal","private-sector","CHL","Entreprise","","",""
"ALSTOM","private-sector","FRA","Entreprise","","",""
"Alterfina","private-sector","FRA","Entreprise","","",""
"Altice Portugal","private-sector","PRT","Entreprise","","",""
"Alto Data Analytics","private-sector","ESP","Entreprise","","",""
"AMANC","civil-society","MEX","Association","","",""
"Amárach Research","private-sector","IRL","Entreprise","","",""
"AmazoOn du web","civil-society","CIV","Association","","",""
"American Chamber of Commerce in Bulgaria","private-sector","BGR","Chambre de commerce","","",""
"American Chamber of Commerce in Canada","private-sector","CAN","Chambre de commerce","","",""
"American Chamber of Commerce in Germany","private-sector","USA","Chambre de commerce","","",""
"American Chamber of Commerce in Guatamala","private-sector","GTM","Chambre de commerce","","",""
"American Chamber of Commerce in Honduras","private-sector","HND","Chambre de commerce","","",""
"American Chamber of Commerce in Hungary","private-sector","HUN","Chambre de commerce","","",""
"American Chamber of Commerce in Ireland","private-sector","IRL","Chambre de commerce","","",""
"American Chamber of Commerce in Kenya","private-sector","USA","Chambre de commerce","","",""
"American Chamber of Commerce in Latvia","civil-society","LVA","","","","2019-11-19"
"American Chamber of Commerce in Moldova","private-sector","MDA","Chambre de commerce","","",""
"American Chamber of Commerce in Norway","private-sector","NOR","Chambre de commerce","","",""
"American Chamber of Commerce in Peru","private-sector","PER","Chambre de commerce","","",""
